Label,Key,R,G,B,T
613,Cbm_Right_CrusII,12,48,255,1
614,Cbm_Left_VIIb,204,182,142,1
615,Cbm_Vermis_VIIb,42,204,164,1
616,Cbm_Right_VIIb,119,159,176,1
617,Cbm_Left_VIIIa,220,216,20,1
618,Cbm_Vermis_VIIIa,103,255,255,1
619,Cbm_Right_VIIIa,80,196,98,1
620,Cbm_Left_VIIIb,60,58,210,1
621,Cbm_Vermis_VIIIb,60,58,210,1
622,Cbm_Right_VIIIb,60,58,210,1
623,Cbm_Left_IX,60,58,210,1
624,Cbm_Vermis_IX,60,60,60,1
625,Cbm_Right_IX,255,165,0,1
626,Cbm_Left_X,255,165,0,1
627,Cbm_Vermis_X,0,255,127,1
628,Cbm_Right_X,165,42,42,1
640,Cbm_Right_I_V_med,204,0,0,1
641,Cbm_Right_I_V_mid,255,0,0,1
642,Cbm_Right_VI_med,0,0,255,1
643,Cbm_Right_VI_mid,30,144,255,1
644,Cbm_Right_VI_lat,100,212,237,1
645,Cbm_Right_CrusI_med,218,165,32,1
646,Cbm_Right_CrusI_mid,255,215,0,1
647,Cbm_Right_CrusI_lat,255,255,166,1
648,Cbm_Right_CrusII_med,153,0,204,1
649,Cbm_Right_CrusII_mid,153,141,209,1
650,Cbm_Right_CrusII_lat,204,204,255,1
651,Cbm_Right_7med,31,212,194,1
652,Cbm_Right_7mid,3,255,237,1
653,Cbm_Right_7lat,204,255,255,1
654,Cbm_Right_8med,86,74,147,1
655,Cbm_Right_8mid,114,114,190,1
656,Cbm_Right_8lat,184,178,255,1
657,Cbm_Right_PUNs,126,138,37,1
658,Cbm_Right_TONs,189,197,117,1
659,Cbm_Right_FLOs,240,230,140,1
660,Cbm_Left_I_V_med,204,0,0,1
661,Cbm_Left_I_V_mid,255,0,0,1
662,Cbm_Left_VI_med,0,0,255,1
663,Cbm_Left_VI_mid,30,144,255,1
664,Cbm_Left_VI_lat,100,212,237,1
665,Cbm_Left_CrusI_med,218,165,32,1
666,Cbm_Left_CrusI_mid,255,215,0,1
667,Cbm_Left_CrusI_lat,255,255,166,1
668,Cbm_Left_CrusII_med,153,0,204,1
669,Cbm_Left_CrusII_mid,153,141,209,1
670,Cbm_Left_CrusII_lat,204,204,255,1
671,Cbm_Left_7med,31,212,194,1
