Label,Key,R,G,B,T
2160,ctx-rh-S_occipital_anterior,61,20,180,1
2161,ctx-rh-S_occipital_middle_and_Lunatus,101,60,220,1
2162,ctx-rh-S_occipital_superior_and_transversalis,21,20,140,1
2163,ctx-rh-S_occipito-temporal_lateral,221,140,20,1
2164,ctx-rh-S_occipito-temporal_medial_and_S_Lingual,141,100,220,1
2165,ctx-rh-S_orbital-H_shapped,101,20,20,1
2166,ctx-rh-S_orbital_lateral,221,100,20,1
2167,ctx-rh-S_orbital_medial-Or_olfactory,181,200,20,1
2168,ctx-rh-S_paracentral,21,180,140,1
2169,ctx-rh-S_parieto_occipital,101,100,180,1
2170,ctx-rh-S_pericallosal,181,220,20,1
2171,ctx-rh-S_postcentral,21,140,200,1
2172,ctx-rh-S_precentral-Inferior-part,21,20,240,1
2173,ctx-rh-S_precentral-Superior-part,21,20,200,1
2174,ctx-rh-S_subcentral_ant,61,180,60,1
2175,ctx-rh-S_subcentral_post,61,180,250,1
2176,ctx-rh-S_suborbital,21,20,60,1
2177,ctx-rh-S_subparietal,101,60,60,1
2178,ctx-rh-S_supracingulate,21,220,220,1
2179,ctx-rh-S_temporal_inferior,21,180,180,1
2180,ctx-rh-S_temporal_superior,223,220,60,1
2181,ctx-rh-S_temporal_transverse,221,60,60,1
2200,ctx-rh-G_cingulate-caudal_ACC,25,60,61,1
2201,ctx-rh-G_cingulate-rostral_ACC,25,90,60,1
2202,ctx-rh-G_cingulate-posterior,25,120,60,1
2205,ctx-rh-S_cingulate-caudal_ACC,25,150,60,1
2206,ctx-rh-S_cingulate-rostral_ACC,25,180,60,1
2207,ctx-rh-S_cingulate-posterior,25,210,60,1
2210,ctx-rh-S_pericallosal-caudal,25,150,90,1
2211,ctx-rh-S_pericallosal-rostral,25,180,90,1
2212,ctx-rh-S_pericallosal-posterior,25,210,90,1
3100,wm-lh-Unknown,0,0,0,1
3101,wm-lh-Corpus_callosum,50,50,50,1
3102,wm-lh-G_and_S_Insula_ONLY_AVERAGE,180,20,30,1
3103,wm-lh-G_cingulate-Isthmus,60,25,25,1
3104,wm-lh-G_cingulate-Main_part,25,60,60,1
3105,wm-lh-G_cuneus,180,20,20,1
3106,wm-lh-G_frontal_inf-Opercular_part,220,20,100,1
3107,wm-lh-G_frontal_inf-Orbital_part,140,60,60,1
3108,wm-lh-G_frontal_inf-Triangular_part,180,220,140,1
3109,wm-lh-G_frontal_middle,140,100,180,1
3110,wm-lh-G_frontal_superior,180,20,140,1
3111,wm-lh-G_frontomarginal,140,20,140,1
3112,wm-lh-G_insular_long,21,10,10,1
3113,wm-lh-G_insular_short,225,140,140,1
3114,wm-lh-G_and_S_occipital_inferior,23,60,180,1
3115,wm-lh-G_occipital_middle,180,60,180,1
3116,wm-lh-G_occipital_superior,20,220,60,1
3117,wm-lh-G_occipit-temp_lat-Or_fusiform,60,20,140,1
3118,wm-lh-G_occipit-temp_med-Lingual_part,220,180,140,1
3119,wm-lh-G_occipit-temp_med-Parahippocampal_part,65,100,20,1
3120,wm-lh-G_orbital,220,60,20,1
3121,wm-lh-G_paracentral,60,100,60,1
3122,wm-lh-G_parietal_inferior-Angular_part,20,60,220,1
3123,wm-lh-G_parietal_inferior-Supramarginal_part,100,100,60,1
3124,wm-lh-G_parietal_superior,220,180,220,1
3125,wm-lh-G_postcentral,20,180,140,1
3126,wm-lh-G_precentral,60,140,180,1
3127,wm-lh-G_precuneus,25,20,140,1
3128,wm-lh-G_rectus,20,60,100,1
3129,wm-lh-G_subcallosal,60,220,20,1
3130,wm-lh-G_subcentral,60,20,220,1
3131,wm-lh-G_temporal_inferior,220,220,100,1
3132,wm-lh-G_temporal_middle,180,60,60,1
3133,wm-lh-G_temp_sup-G_temp_transv_and_interm_S,60,60,220,1
3134,wm-lh-G_temp_sup-Lateral_aspect,220,60,220,1
3135,wm-lh-G_temp_sup-Planum_polare,65,220,60,1
3136,wm-lh-G_temp_sup-Planum_tempolare,25,140,20,1
3137,wm-lh-G_and_S_transverse_frontopolar,13,0,250,1
3138,wm-lh-Lat_Fissure-ant_sgt-ramus_horizontal,61,20,220,1
3139,wm-lh-Lat_Fissure-ant_sgt-ramus_vertical,61,20,60,1
3140,wm-lh-Lat_Fissure-post_sgt,61,60,100,1
3141,wm-lh-Medial_wall,25,25,25,1
3142,wm-lh-Pole_occipital,140,20,60,1
3143,wm-lh-Pole_temporal,220,180,20,1
3144,wm-lh-S_calcarine,63,180,180,1
3145,wm-lh-S_central,221,20,10,1
3146,wm-lh-S_central_insula,21,220,20,1
3147,wm-lh-S_cingulate-Main_part_and_Intracingulate,183,100,20,1
3148,wm-lh-S_cingulate-Marginalis_part,221,20,100,1
3149,wm-lh-S_circular_insula_anterior,221,60,140,1
3150,wm-lh-S_circular_insula_inferior,221,20,220,1
3151,wm-lh-S_circular_insula_superior,61,220,220,1
3152,wm-lh-S_collateral_transverse_ant,100,200,200,1
3153,wm-lh-S_collateral_transverse_post,10,200,200,1
3154,wm-lh-S_frontal_inferior,221,220,20,1
3155,wm-lh-S_frontal_middle,141,20,100,1
3156,wm-lh-S_frontal_superior,61,220,100,1
3157,wm-lh-S_frontomarginal,21,220,60,1
3158,wm-lh-S_intermedius_primus-Jensen,141,60,20,1
3159,wm-lh-S_intraparietal-and_Parietal_transverse,143,20,220,1
3160,wm-lh-S_occipital_anterior,61,20,180,1
3161,wm-lh-S_occipital_middle_and_Lunatus,101,60,220,1
3162,wm-lh-S_occipital_superior_and_transversalis,21,20,140,1
3163,wm-lh-S_occipito-temporal_lateral,221,140,20,1
3164,wm-lh-S_occipito-temporal_medial_and_S_Lingual,141,100,220,1
3165,wm-lh-S_orbital-H_shapped,101,20,20,1
3166,wm-lh-S_orbital_lateral,221,100,20,1
3167,wm-lh-S_orbital_medial-Or_olfactory,181,200,20,1
3168,wm-lh-S_paracentral,21,180,140,1
3169,wm-lh-S_parieto_occipital,101,100,180,1
3170,wm-lh-S_pericallosal,181,220,20,1
3171,wm-lh-S_postcentral,21,140,200,1
3172,wm-lh-S_precentral-Inferior-part,21,20,240,1
3173,wm-lh-S_precentral-Superior-part,21,20,200,1
3174,wm-lh-S_subcentral_ant,61,180,60,1
3175,wm-lh-S_subcentral_post,61,180,250,1
3176,wm-lh-S_suborbital,21,20,60,1
3177,wm-lh-S_subparietal,101,60,60,1
3178,wm-lh-S_supracingulate,21,220,220,1
3179,wm-lh-S_temporal_inferior,21,180,180,1
3180,wm-lh-S_temporal_superior,223,220,60,1
3181,wm-lh-S_temporal_transverse,221,60,60,1
4100,wm-rh-Unknown,0,0,0,1
4101,wm-rh-Corpus_callosum,50,50,50,1
4102,wm-rh-G_and_S_Insula_ONLY_AVERAGE,180,20,30,1
4103,wm-rh-G_cingulate-Isthmus,60,25,25,1
4104,wm-rh-G_cingulate-Main_part,25,60,60,1
4105,wm-rh-G_cuneus,180,20,20,1
4106,wm-rh-G_frontal_inf-Opercular_part,220,20,100,1
4107,wm-rh-G_frontal_inf-Orbital_part,140,60,60,1
4108,wm-rh-G_frontal_inf-Triangular_part,180,220,140,1
4109,wm-rh-G_frontal_middle,140,100,180,1
4110,wm-rh-G_frontal_superior,180,20,140,1
4111,wm-rh-G_frontomarginal,140,20,140,1
4112,wm-rh-G_insular_long,21,10,10,1
4113,wm-rh-G_insular_short,225,140,140,1
4114,wm-rh-G_and_S_occipital_inferior,23,60,180,1
4115,wm-rh-G_occipital_middle,180,60,180,1
4116,wm-rh-G_occipital_superior,20,220,60,1
4117,wm-rh-G_occipit-temp_lat-Or_fusiform,60,20,140,1
4118,wm-rh-G_occipit-temp_med-Lingual_part,220,180,140,1
4119,wm-rh-G_occipit-temp_med-Parahippocampal_part,65,100,20,1
4120,wm-rh-G_orbital,220,60,20,1
4121,wm-rh-G_paracentral,60,100,60,1
4122,wm-rh-G_parietal_inferior-Angular_part,20,60,220,1
4123,wm-rh-G_parietal_inferior-Supramarginal_part,100,100,60,1
4124,wm-rh-G_parietal_superior,220,180,220,1
4125,wm-rh-G_postcentral,20,180,140,1
4126,wm-rh-G_precentral,60,140,180,1
4127,wm-rh-G_precuneus,25,20,140,1
4128,wm-rh-G_rectus,20,60,100,1
4129,wm-rh-G_subcallosal,60,220,20,1
4130,wm-rh-G_subcentral,60,20,220,1
4131,wm-rh-G_temporal_inferior,220,220,100,1
4132,wm-rh-G_temporal_middle,180,60,60,1
4133,wm-rh-G_temp_sup-G_temp_transv_and_interm_S,60,60,220,1
4134,wm-rh-G_temp_sup-Lateral_aspect,220,60,220,1
4135,wm-rh-G_temp_sup-Planum_polare,65,220,60,1
4136,wm-rh-G_temp_sup-Planum_tempolare,25,140,20,1
4137,wm-rh-G_and_S_transverse_frontopolar,13,0,250,1
4138,wm-rh-Lat_Fissure-ant_sgt-ramus_horizontal,61,20,220,1
4139,wm-rh-Lat_Fissure-ant_sgt-ramus_vertical,61,20,60,1
4140,wm-rh-Lat_Fissure-post_sgt,61,60,100,1
4141,wm-rh-Medial_wall,25,25,25,1
4142,wm-rh-Pole_occipital,140,20,60,1
4143,wm-rh-Pole_temporal,220,180,20,1
4144,wm-rh-S_calcarine,63,180,180,1
4145,wm-rh-S_central,221,20,10,1
4146,wm-rh-S_central_insula,21,220,20,1
4147,wm-rh-S_cingulate-Main_part_and_Intracingulate,183,100,20,1
4148,wm-rh-S_cingulate-Marginalis_part,221,20,100,1
4149,wm-rh-S_circular_insula_anterior,221,60,140,1
4150,wm-rh-S_circular_insula_inferior,221,20,220,1
4151,wm-rh-S_circular_insula_superior,61,220,220,1
4152,wm-rh-S_collateral_transverse_ant,100,200,200,1
4153,wm-rh-S_collateral_transverse_post,10,200,200,1
4154,wm-rh-S_frontal_inferior,221,220,20,1
4155,wm-rh-S_frontal_middle,141,20,100,1
4156,wm-rh-S_frontal_superior,61,220,100,1
4157,wm-rh-S_frontomarginal,21,220,60,1
4158,wm-rh-S_intermedius_primus-Jensen,141,60,20,1
4159,wm-rh-S_intraparietal-and_Parietal_transverse,143,20,220,1
4160,wm-rh-S_occipital_anterior,61,20,180,1
4161,wm-rh-S_occipital_middle_and_Lunatus,101,60,220,1
4162,wm-rh-S_occipital_superior_and_transversalis,21,20,140,1
4163,wm-rh-S_occipito-temporal_lateral,221,140,20,1
4164,wm-rh-S_occipito-temporal_medial_and_S_Lingual,141,100,220,1
4165,wm-rh-S_orbital-H_shapped,101,20,20,1
4166,wm-rh-S_orbital_lateral,221,100,20,1
4167,wm-rh-S_orbital_medial-Or_olfactory,181,200,20,1
4168,wm-rh-S_paracentral,21,180,140,1
4169,wm-rh-S_parieto_occipital,101,100,180,1
4170,wm-rh-S_pericallosal,181,220,20,1
4171,wm-rh-S_postcentral,21,140,200,1
4172,wm-rh-S_precentral-Inferior-part,21,20,240,1
4173,wm-rh-S_precentral-Superior-part,21,20,200,1
4174,wm-rh-S_subcentral_ant,61,180,60,1
4175,wm-rh-S_subcentral_post,61,180,250,1
4176,wm-rh-S_suborbital,21,20,60,1
4177,wm-rh-S_subparietal,101,60,60,1
4178,wm-rh-S_supracingulate,21,220,220,1
4179,wm-rh-S_temporal_inferior,21,180,180,1
4180,wm-rh-S_temporal_superior,223,220,60,1
4181,wm-rh-S_temporal_transverse,221,60,60,1
5001,Left-UnsegmentedWhiteMatter,20,30,40,1
5002,Right-UnsegmentedWhiteMatter,20,30,40,1
5100,fmajor,204,102,102,1
5101,fminor,204,102,102,1
5102,cc.body,204,102,102,1
5103,cc.bodyc,255,153,153,1
5104,cc.bodypf,255,153,153,1
5105,cc.bodypm,255,204,204,1
5106,cc.bodyp,255,102,102,1
5107,cc.bodyt,255,204,204,1
5108,cc.genu,255,102,102,1
5109,cc.rostrum,204,51,51,1
5110,cc.splenium,204,51,51,1
5111,acomm,204,102,102,1
5112,mcp,102,51,153,1
5200,lh.atr,255,255,102,1
5201,lh.cab,153,204,0,1
5202,lh.ccg,0,153,153,1
5203,lh.cst,204,153,255,1
5204,lh.ilf,255,153,51,1
5205,lh.slfp,204,204,204,1
5206,lh.slft,153,255,255,1
5207,lh.unc,102,153,255,1
5208,lh.cb,0,153,153,1
5209,lh.slf,204,204,204,1
5210,lh.af,153,255,255,1
5211,lh.ifof,51,153,51,1
5212,lh.fx,255,153,204,1
5213,lh.fat,204,51,102,1
5214,lh.or,153,102,255,1
5215,lh.mlf,255,255,204,1
5216,lh.slf1,51,204,255,1
5217,lh.slf2,51,255,204,1
5218,lh.slf3,204,204,204,1
5219,lh.afd,153,255,255,1
5220,lh.afv,153,255,255,1
5221,lh.ar,153,0,204,1
5222,lh.cbd,0,153,153,1
5223,lh.cbv,153,204,0,1
5224,lh.emc,51,153,51,1
5225,lh.uf,102,153,255,1
5300,rh.atr,255,255,102,1
5301,rh.cab,153,204,0,1
5302,rh.ccg,0,153,153,1
5303,rh.cst,204,153,255,1
5304,rh.ilf,255,153,51,1
5305,rh.slfp,204,204,204,1
5306,rh.slft,153,255,255,1
5307,rh.unc,102,153,255,1
5308,rh.cb,0,153,153,1
5309,rh.slf,204,204,204,1
5310,rh.af,153,255,255,1
5311,rh.ifof,51,153,51,1
5312,rh.fx,255,153,204,1
5313,rh.fat,204,51,102,1
5314,rh.or,153,102,255,1
5315,rh.mlf,255,255,204,1
5316,rh.slf1,51,204,255,1
5317,rh.slf2,51,255,204,1
5318,rh.slf3,204,204,204,1
5319,rh.afd,153,255,255,1
5320,rh.afv,153,255,255,1
5321,rh.ar,153,0,204,1
5322,rh.cbd,0,153,153,1
5323,rh.cbv,153,204,0,1
5324,rh.emc,51,153,51,1
5325,rh.uf,102,153,255,1
6000,CST-orig,0,255,0,1
6001,CST-hammer,255,255,0,1
6002,CST-CVS,0,255,255,1
6003,CST-flirt,0,0,255,1
6010,Left-SLF1,236,16,231,1
6020,Right-SLF1,237,18,232,1
6030,Left-SLF3,236,13,227,1
6040,Right-SLF3,236,17,228,1
6050,Left-CST,1,255,1,1
6060,Right-CST,2,255,1,1
6070,Left-SLF2,236,14,230,1
6080,Right-SLF2,237,14,230,1
7001,Lateral-nucleus,72,132,181,1
7002,Basolateral-nucleus,243,243,243,1
7003,Basal-nucleus,207,63,79,1
7004,Centromedial-nucleus,121,20,135,1
7005,Central-nucleus,197,60,248,1
7006,Medial-nucleus,2,149,2,1
7007,Cortical-nucleus,221,249,166,1
7008,Accessory-Basal-nucleus,232,146,35,1
7009,Corticoamygdaloid-transitio,20,60,120,1
7010,Anterior-amygdaloid-area-AAA,250,250,0,1
7011,Fusion-amygdala-HP-FAH,122,187,222,1
7012,Hippocampal-amygdala-transition-HATA,237,12,177,1
7013,Endopiriform-nucleus,10,49,255,1
7014,Lateral-nucleus-olfactory-tract,205,184,144,1
7015,Paralaminar-nucleus,45,205,165,1
7016,Intercalated-nucleus,117,160,175,1
7017,Prepiriform-cortex,221,217,21,1
7018,Periamygdaloid-cortex,20,60,120,1
7019,Envelope-Amygdala,141,21,100,1
7020,Extranuclear-Amydala,225,140,141,1
7100,Brainstem-inferior-colliculus,42,201,168,1
7101,Brainstem-cochlear-nucleus,168,104,162,1
7201,DR,121,255,250,1
7202,MnR,0,255,0,1
7203,PAG,153,153,255,1
7204,VTA,255,0,255,1
7301,Left-LC,0,0,255,1
7302,Left-LDTg,255,127,0,1
7303,Left-mRt,255,0,0,1
7304,Left-PBC,255,255,0,1
7305,Left-PnO,0,127,255,1
7306,Left-PTg,127,0,255,1
7401,Right-LC,0,0,255,1
7402,Right-LDTg,255,127,0,1
7403,Right-mRt,255,0,0,1
7404,Right-PBC,255,255,0,1
7405,Right-PnO,0,127,255,1
7406,Right-PTg,127,0,255,1
8001,Thalamus-Anterior,74,130,181,1
8002,Thalamus-Ventral-anterior,242,241,240,1
8003,Thalamus-Lateral-dorsal,206,65,78,1
8004,Thalamus-Lateral-posterior,120,21,133,1
8005,Thalamus-Ventral-lateral,195,61,246,1
8006,Thalamus-Ventral-posterior-medial,3,147,6,1
8007,Thalamus-Ventral-posterior-lateral,220,251,163,1
8008,Thalamus-intralaminar,232,146,33,1
8009,Thalamus-centromedian,4,114,14,1
8010,Thalamus-mediodorsal,121,184,220,1
8011,Thalamus-medial,235,11,175,1
8012,Thalamus-pulvinar,12,46,250,1
8013,Thalamus-lateral-geniculate,203,182,143,1
8014,Thalamus-medial-geniculate,42,204,167,1
8103,Left-AV,0,85,0,1
8104,Left-CeM,170,85,0,1
8105,Left-CL,0,170,0,1
8106,Left-CM,170,170,0,1
8108,Left-LD,170,255,0,1
8109,Left-LGN,0,0,127,1
8110,Left-LP,0,85,127,1
8111,Left-L-Sg,170,85,127,1
8112,Left-MDl,0,170,127,1
8113,Left-MDm,170,170,127,1
8115,Left-MGN,170,255,127,1
8116,Left-MV(Re),0,0,255,1
8117,Left-Pc,170,0,255,1
8118,Left-Pf,0,85,255,1
8119,Left-Pt,170,85,255,1
8120,Left-PuA,0,170,255,1
8121,Left-PuI,170,170,255,1
8122,Left-PuL,0,255,255,1
8123,Left-PuM,170,255,255,1
8125,Left-R,255,0,0,1
8126,Left-VA,85,85,0,1
8127,Left-VAmc,255,85,0,1
8128,Left-VLa,85,170,0,1
8129,Left-VLp,255,170,0,1
8130,Left-VM,85,255,0,1
8133,Left-VPL,255,0,255,1
8134,Left-PaV,120,18,134,1
8203,Right-AV,0,85,0,1
8204,Right-CeM,170,85,0,1
8205,Right-CL,0,170,0,1
8206,Right-CM,170,170,0,1
8208,Right-LD,170,255,0,1
8209,Right-LGN,0,0,127,1
8210,Right-LP,0,85,127,1
8211,Right-L-Sg,170,85,127,1
8212,Right-MDl,0,170,127,1
8213,Right-MDm,170,170,127,1
8215,Right-MGN,170,255,127,1
8216,Right-MV(Re),0,0,255,1
8217,Right-Pc,170,0,255,1
8218,Right-Pf,0,85,255,1
8219,Right-Pt,170,85,255,1
8220,Right-PuA,0,170,255,1
8221,Right-PuI,170,170,255,1
8222,Right-PuL,0,255,255,1
8223,Right-PuM,170,255,255,1
8225,Right-R,255,0,0,1
8226,Right-VA,85,85,0,1
8227,Right-VAmc,255,85,0,1
8228,Right-VLa,85,170,0,1
8229,Right-VLp,255,170,0,1
8230,Right-VM,85,255,0,1
8233,Right-VPL,255,0,255,1
8234,Right-PaV,120,18,134,1
9000,ctx-lh-prefrontal,50,100,30,1
9001,ctx-lh-primary-motor,30,100,45,1
9002,ctx-lh-premotor,130,100,165,1
9003,ctx-lh-temporal,105,25,5,1
9004,ctx-lh-posterior-parietal,125,70,55,1
9005,ctx-lh-prim-sec-somatosensory,225,20,105,1
9006,ctx-lh-occipital,225,20,15,1
9500,ctx-rh-prefrontal,50,200,30,1
9501,ctx-rh-primary-motor,30,150,45,1
9502,ctx-rh-premotor,130,150,165,1
9503,ctx-rh-temporal,105,75,5,1
9504,ctx-rh-posterior-parietal,125,120,55,1
9505,ctx-rh-prim-sec-somatosensory,225,70,105,1
9506,ctx-rh-occipital,225,70,15,1
11100,ctx_lh_Unknown,0,0,0,1
11101,ctx_lh_G_and_S_frontomargin,23,220,60,1
11102,ctx_lh_G_and_S_occipital_inf,23,60,180,1
11103,ctx_lh_G_and_S_paracentral,63,100,60,1
11104,ctx_lh_G_and_S_subcentral,63,20,220,1
11105,ctx_lh_G_and_S_transv_frontopol,13,0,250,1
11106,ctx_lh_G_and_S_cingul-Ant,26,60,0,1
11107,ctx_lh_G_and_S_cingul-Mid-Ant,26,60,75,1
11108,ctx_lh_G_and_S_cingul-Mid-Post,26,60,150,1
11109,ctx_lh_G_cingul-Post-dorsal,25,60,250,1
11110,ctx_lh_G_cingul-Post-ventral,60,25,25,1
11111,ctx_lh_G_cuneus,180,20,20,1
11112,ctx_lh_G_front_inf-Opercular,220,20,100,1
11113,ctx_lh_G_front_inf-Orbital,140,60,60,1
11114,ctx_lh_G_front_inf-Triangul,180,220,140,1
11115,ctx_lh_G_front_middle,140,100,180,1
11116,ctx_lh_G_front_sup,180,20,140,1
11117,ctx_lh_G_Ins_lg_and_S_cent_ins,23,10,10,1
11118,ctx_lh_G_insular_short,225,140,140,1
11119,ctx_lh_G_occipital_middle,180,60,180,1
11120,ctx_lh_G_occipital_sup,20,220,60,1
11121,ctx_lh_G_oc-temp_lat-fusifor,60,20,140,1
11122,ctx_lh_G_oc-temp_med-Lingual,220,180,140,1
11123,ctx_lh_G_oc-temp_med-Parahip,65,100,20,1
11124,ctx_lh_G_orbital,220,60,20,1
11125,ctx_lh_G_pariet_inf-Angular,20,60,220,1
11126,ctx_lh_G_pariet_inf-Supramar,100,100,60,1
11127,ctx_lh_G_parietal_sup,220,180,220,1
11128,ctx_lh_G_postcentral,20,180,140,1
11129,ctx_lh_G_precentral,60,140,180,1
11130,ctx_lh_G_precuneus,25,20,140,1
11131,ctx_lh_G_rectus,20,60,100,1
11132,ctx_lh_G_subcallosal,60,220,20,1
11133,ctx_lh_G_temp_sup-G_T_transv,60,60,220,1
11134,ctx_lh_G_temp_sup-Lateral,220,60,220,1
11135,ctx_lh_G_temp_sup-Plan_polar,65,220,60,1
11136,ctx_lh_G_temp_sup-Plan_tempo,25,140,20,1
11137,ctx_lh_G_temporal_inf,220,220,100,1
11138,ctx_lh_G_temporal_middle,180,60,60,1
11139,ctx_lh_Lat_Fis-ant-Horizont,61,20,220,1
11140,ctx_lh_Lat_Fis-ant-Vertical,61,20,60,1
11141,ctx_lh_Lat_Fis-post,61,60,100,1
11142,ctx_lh_Medial_wall,25,25,25,1
11143,ctx_lh_Pole_occipital,140,20,60,1
11144,ctx_lh_Pole_temporal,220,180,20,1
11145,ctx_lh_S_calcarine,63,180,180,1
11146,ctx_lh_S_central,221,20,10,1
11147,ctx_lh_S_cingul-Marginalis,221,20,100,1
11148,ctx_lh_S_circular_insula_ant,221,60,140,1
11149,ctx_lh_S_circular_insula_inf,221,20,220,1
11150,ctx_lh_S_circular_insula_sup,61,220,220,1
11151,ctx_lh_S_collat_transv_ant,100,200,200,1
11152,ctx_lh_S_collat_transv_post,10,200,200,1
11153,ctx_lh_S_front_inf,221,220,20,1
11154,ctx_lh_S_front_middle,141,20,100,1
11155,ctx_lh_S_front_sup,61,220,100,1
11156,ctx_lh_S_interm_prim-Jensen,141,60,20,1
11157,ctx_lh_S_intrapariet_and_P_trans,143,20,220,1
11158,ctx_lh_S_oc_middle_and_Lunatus,101,60,220,1
11159,ctx_lh_S_oc_sup_and_transversal,21,20,140,1
11160,ctx_lh_S_occipital_ant,61,20,180,1
11161,ctx_lh_S_oc-temp_lat,221,140,20,1
11162,ctx_lh_S_oc-temp_med_and_Lingual,141,100,220,1
11163,ctx_lh_S_orbital_lateral,221,100,20,1
11164,ctx_lh_S_orbital_med-olfact,181,200,20,1
11165,ctx_lh_S_orbital-H_Shaped,101,20,20,1
11166,ctx_lh_S_parieto_occipital,101,100,180,1
11167,ctx_lh_S_pericallosal,181,220,20,1
11168,ctx_lh_S_postcentral,21,140,200,1
11169,ctx_lh_S_precentral-inf-part,21,20,240,1
11170,ctx_lh_S_precentral-sup-part,21,20,200,1
11171,ctx_lh_S_suborbital,21,20,60,1
11172,ctx_lh_S_subparietal,101,60,60,1
11173,ctx_lh_S_temporal_inf,21,180,180,1
11174,ctx_lh_S_temporal_sup,223,220,60,1
11175,ctx_lh_S_temporal_transverse,221,60,60,1
12100,ctx_rh_Unknown,0,0,0,1
12101,ctx_rh_G_and_S_frontomargin,23,220,60,1
12102,ctx_rh_G_and_S_occipital_inf,23,60,180,1
12103,ctx_rh_G_and_S_paracentral,63,100,60,1
12104,ctx_rh_G_and_S_subcentral,63,20,220,1
12105,ctx_rh_G_and_S_transv_frontopol,13,0,250,1
12106,ctx_rh_G_and_S_cingul-Ant,26,60,0,1
12107,ctx_rh_G_and_S_cingul-Mid-Ant,26,60,75,1
12108,ctx_rh_G_and_S_cingul-Mid-Post,26,60,150,1
12109,ctx_rh_G_cingul-Post-dorsal,25,60,250,1
12110,ctx_rh_G_cingul-Post-ventral,60,25,25,1
12111,ctx_rh_G_cuneus,180,20,20,1
12112,ctx_rh_G_front_inf-Opercular,220,20,100,1
12113,ctx_rh_G_front_inf-Orbital,140,60,60,1
12114,ctx_rh_G_front_inf-Triangul,180,220,140,1
12115,ctx_rh_G_front_middle,140,100,180,1
12116,ctx_rh_G_front_sup,180,20,140,1
12117,ctx_rh_G_Ins_lg_and_S_cent_ins,23,10,10,1
12118,ctx_rh_G_insular_short,225,140,140,1
12119,ctx_rh_G_occipital_middle,180,60,180,1
12120,ctx_rh_G_occipital_sup,20,220,60,1
12121,ctx_rh_G_oc-temp_lat-fusifor,60,20,140,1
12122,ctx_rh_G_oc-temp_med-Lingual,220,180,140,1
12123,ctx_rh_G_oc-temp_med-Parahip,65,100,20,1
12124,ctx_rh_G_orbital,220,60,20,1
12125,ctx_rh_G_pariet_inf-Angular,20,60,220,1
12126,ctx_rh_G_pariet_inf-Supramar,100,100,60,1
12127,ctx_rh_G_parietal_sup,220,180,220,1
12128,ctx_rh_G_postcentral,20,180,140,1
12129,ctx_rh_G_precentral,60,140,180,1
12130,ctx_rh_G_precuneus,25,20,140,1
12131,ctx_rh_G_rectus,20,60,100,1
12132,ctx_rh_G_subcallosal,60,220,20,1
12133,ctx_rh_G_temp_sup-G_T_transv,60,60,220,1
12134,ctx_rh_G_temp_sup-Lateral,220,60,220,1
12135,ctx_rh_G_temp_sup-Plan_polar,65,220,60,1
12136,ctx_rh_G_temp_sup-Plan_tempo,25,140,20,1
12137,ctx_rh_G_temporal_inf,220,220,100,1
12138,ctx_rh_G_temporal_middle,180,60,60,1
12139,ctx_rh_Lat_Fis-ant-Horizont,61,20,220,1
12140,ctx_rh_Lat_Fis-ant-Vertical,61,20,60,1
12141,ctx_rh_Lat_Fis-post,61,60,100,1
12142,ctx_rh_Medial_wall,25,25,25,1
12143,ctx_rh_Pole_occipital,140,20,60,1
12144,ctx_rh_Pole_temporal,220,180,20,1
12145,ctx_rh_S_calcarine,63,180,180,1
12146,ctx_rh_S_central,221,20,10,1
12147,ctx_rh_S_cingul-Marginalis,221,20,100,1
12148,ctx_rh_S_circular_insula_ant,221,60,140,1
12149,ctx_rh_S_circular_insula_inf,221,20,220,1
12150,ctx_rh_S_circular_insula_sup,61,220,220,1
12151,ctx_rh_S_collat_transv_ant,100,200,200,1
12152,ctx_rh_S_collat_transv_post,10,200,200,1
12153,ctx_rh_S_front_inf,221,220,20,1
12154,ctx_rh_S_front_middle,141,20,100,1
12155,ctx_rh_S_front_sup,61,220,100,1
12156,ctx_rh_S_interm_prim-Jensen,141,60,20,1
12157,ctx_rh_S_intrapariet_and_P_trans,143,20,220,1
12158,ctx_rh_S_oc_middle_and_Lunatus,101,60,220,1
12159,ctx_rh_S_oc_sup_and_transversal,21,20,140,1
12160,ctx_rh_S_occipital_ant,61,20,180,1
12161,ctx_rh_S_oc-temp_lat,221,140,20,1
12162,ctx_rh_S_oc-temp_med_and_Lingual,141,100,220,1
12163,ctx_rh_S_orbital_lateral,221,100,20,1
12164,ctx_rh_S_orbital_med-olfact,181,200,20,1
12165,ctx_rh_S_orbital-H_Shaped,101,20,20,1
12166,ctx_rh_S_parieto_occipital,101,100,180,1
12167,ctx_rh_S_pericallosal,181,220,20,1
12168,ctx_rh_S_postcentral,21,140,200,1
12169,ctx_rh_S_precentral-inf-part,21,20,240,1
12170,ctx_rh_S_precentral-sup-part,21,20,200,1
12171,ctx_rh_S_suborbital,21,20,60,1
12172,ctx_rh_S_subparietal,101,60,60,1
12173,ctx_rh_S_temporal_inf,21,180,180,1
12174,ctx_rh_S_temporal_sup,223,220,60,1
12175,ctx_rh_S_temporal_transverse,221,60,60,1
13100,wm_lh_Unknown,0,0,0,1
13101,wm_lh_G_and_S_frontomargin,23,220,60,1
13102,wm_lh_G_and_S_occipital_inf,23,60,180,1
